Fecha;NMT;Situaciï¿½n;Ld;Le;Ln;LAeq24;LAS01;LAS10;LAS50;LAS90;LAS99;Nombre
sep-21;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
sep-21;5;;61,7;61,8;53,6;60,3;67,6;62,6;57,3;43,7;37,9;Barrio del Pilar
sep-21;6;;73,7;69;64,9;71,5;76,8;71,6;64,9;56,1;48,1;Gregorio Marañón
sep-21;8;;64,8;65;61;63,9;71,2;66,4;61,9;54,3;47,9;Escuelas Aguirre
sep-21;10;;64,4;63,6;59,5;63,2;71,6;66,3;58,7;50;47,7;Cuatro Caminos
sep-21;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
sep-21;12;;63,9;63,5;57,6;62,5;70,7;64;59,6;50,9;45,2;Plaza Manuel Becerra
sep-21;13;;58,1;58,7;52;57;65,5;59,2;52,9;42,5;37,9;Vallecas
sep-21;14;;64,5;64,7;60,6;63,6;70,1;65,2;61,8;54,5;48,4;Glorieta Fdez. Ladreda
sep-21;16;;58,1;56,8;51,6;56,5;64,5;58,1;52;39,4;35,4;Arturo Soria
sep-21;17;;56,5;59,3;50,7;56,1;65,1;58,6;52,1;41,8;37;Villaverde
sep-21;18;;60,3;57;50,6;58,1;67,4;59,2;50,9;41,3;38,5;Farolillo
sep-21;19;;60,2;59,5;53,2;58,7;67,4;61,4;54,6;42,7;36,5;Alto Extremadura
sep-21;20;;60,2;60,3;54;58,9;67;61,4;55,6;44,1;39,2;Avda de Moratalaz
sep-21;24;;48,2;47,7;47,9;48;54,7;49,6;44;38,9;37,4;Casa de Campo
sep-21;25;;68,1;67,7;63,7;67;71;69;66,7;59,4;50,9;Santa Eugenia
sep-21;26;;61;59,9;56;59,7;67,3;63,3;56,9;49,3;42,2;Embajada
sep-21;27;;59,5;58,2;55;58,2;67,6;61,2;52,4;45,1;37,6;Barajas Pueblo
sep-21;28;;66,8;65,6;59,8;65,1;73,4;69,2;60,6;39,8;34;Cuatro Vientos
sep-21;29;;57,4;56,8;51,9;56,1;64,6;59,6;51;37;33,8;El Pardo
sep-21;30;;62;60,5;53,2;60,2;67,5;62,1;56,8;42,2;38,9;Campo de las Naciones
sep-21;31;;62,3;62,2;52,5;60,7;71;65,4;52,4;43,1;39,3;Sanchinarro
sep-21;47;;55,7;55,3;51;54,5;65,6;54,9;49;40,1;37;Méndez Álvaro
sep-21;48;;60,5;60;55,8;59,3;66,3;61,6;57,6;50,2;45,3;Castellana
sep-21;50;;65,4;65,5;60,9;64,4;70,6;65,9;62,1;53,8;48,3;Pza de Castilla
sep-21;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
sep-21;55;;55,9;55,4;53,2;55,1;62,9;56,3;50,2;43,6;38,8;Urbanización Embajada II
sep-21;86;;58,4;55,3;49,8;56,4;64,7;58,2;50;39,3;36,5;Tres Olivos
oct-21;1;;64,1;63,4;60,5;63;70,6;65,6;60,2;51,7;45,7;Paseo de Recoletos
oct-21;2;;68,7;68,8;65,9;68;74,6;69,6;66,2;60,4;55,5;Carlos V
oct-21;3;;61,3;63,8;61,8;62;69,7;64,3;58,6;50,4;45,3;Plaza del Carmen
oct-21;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
oct-21;5;;60,9;63,1;53,3;60,1;67,2;62,7;57,2;43,4;37,9;Barrio del Pilar
oct-21;6;;70,1;69,4;65,5;68,9;76,5;71,6;65,7;57,2;49,4;Gregorio Marañón
oct-21;8;;64,8;65,1;61,1;64;71,2;66,4;62;55,1;48,1;Escuelas Aguirre
oct-21;10;;64,8;63,8;59;63,4;71,8;66,7;59,2;51;49,2;Cuatro Caminos
oct-21;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
oct-21;12;;63,4;63,9;58,2;62,4;70,3;64,2;59,9;51,6;46,5;Plaza Manuel Becerra
oct-21;13;;57,9;57,3;53;56,7;65,2;58,8;52,6;42,2;38,4;Vallecas
oct-21;14;;64,6;64,4;60,1;63,5;70,2;65,2;61,8;54,6;48,3;Glorieta Fdez. Ladreda
oct-21;16;;58,6;57,4;51,6;57;65,3;58,7;52,4;39,4;35,9;Arturo Soria
oct-21;17;;57,6;58,4;50;56,4;64,9;58,5;52,2;41,6;37,5;Villaverde
oct-21;18;;57,2;56,1;51,8;55,8;65,1;57,3;49,8;41,2;38,6;Farolillo
oct-21;19;;60,6;59,5;53,1;59;67,3;61,5;55;43,5;37,3;Alto Extremadura
oct-21;20;;62,5;60,6;54,1;60,7;68,4;61,8;56;45,3;41,6;Avda de Moratalaz
oct-21;24;;48,9;47,3;42,9;47,4;55,3;50,3;44,4;39,1;37,6;Casa de Campo
oct-21;25;;68,1;67,9;63,5;67;70,9;69,2;66,9;59,5;51,1;Santa Eugenia
oct-21;26;;61,6;60,7;56,9;60,3;67,8;63,9;57,5;50,3;43,7;Embajada
oct-21;27;;59,2;58;54,7;57,9;67,5;61,4;52;43,5;37,8;Barajas Pueblo
oct-21;28;;67,4;65,8;59,9;65,7;73,9;69,8;61,3;41;35,2;Cuatro Vientos
oct-21;29;;58,1;56,4;50,5;56,4;64,6;59,5;50,7;36,5;34;El Pardo
oct-21;30;;60,2;59,8;52,8;58,6;65,6;61,3;57,1;43,6;39,9;Campo de las Naciones
oct-21;31;;63;62,6;53,2;61,4;71,7;66,1;53,6;43,8;40,2;Sanchinarro
oct-21;47;;55,6;55,3;49,6;54,3;65,3;54,6;48,4;39,9;37,2;Méndez Álvaro
oct-21;48;;61;60,4;56,2;59,8;66,6;62;58;50,9;45,1;Castellana
oct-21;50;;66;65,3;61;64,8;71;66,3;62,5;54,6;48,9;Pza de Castilla
oct-21;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
oct-21;55;;55,2;54,5;50;53,9;62,5;56,5;50,3;43,6;39,5;Urbanización Embajada II
oct-21;86;;58,9;55,5;49,5;56,8;64;58,1;49,9;39,1;37;Tres Olivos
nov-21;1;;68,6;63,7;60,9;66,5;72,9;66,6;60,6;52;46,3;Paseo de Recoletos
nov-21;2;;69;68,7;66,3;68,2;74,9;69,7;66,5;60,4;55,3;Carlos V
nov-21;3;;62,5;61,8;59,4;61,6;70,1;63,6;57,5;49,9;45,2;Plaza del Carmen
nov-21;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
nov-21;5;;61,4;60,9;53,3;59,8;66,7;62,6;57,1;43,6;38;Barrio del Pilar
nov-21;6;;70,1;69,5;65,7;68,9;76,6;71,5;65,7;57,4;49,6;Gregorio Marañón
nov-21;8;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Escuelas Aguirre
nov-21;10;;65,4;64,3;59,8;63,9;72,3;67,3;59,9;51,2;49,2;Cuatro Caminos
nov-21;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
nov-21;12;;64;63,3;58,2;62,7;71,2;64,2;59,9;51,4;45,3;Plaza Manuel Becerra
nov-21;13;;60,8;57,4;51;58,7;67,1;60,7;53,8;41,9;38,6;Vallecas
nov-21;14;;64,1;63,8;59,9;63;70;64,7;60,9;53,7;48;Glorieta Fdez. Ladreda
nov-21;16;;59,2;57,2;51,9;57,5;65,9;59,4;53,4;40,3;36,6;Arturo Soria
nov-21;17;;59,3;56,7;52,4;57,5;66;58,8;52,3;42,1;38,7;Villaverde
nov-21;18;;57,7;55;47,2;55,6;65,6;56,4;48,7;39,6;37,4;Farolillo
nov-21;19;;60,4;59,7;54;59;67,1;61,8;55,6;44,1;37,8;Alto Extremadura
nov-21;20;;60,9;60,1;54,8;59,5;67,4;62;56,1;45,5;42,4;Avda de Moratalaz
nov-21;24;;47,8;45,8;42,8;46,3;54,2;49,1;43,6;39;37,6;Casa de Campo
nov-21;25;;69;68,2;64,1;67,7;71,7;69,8;67,6;59,9;51,2;Santa Eugenia
nov-21;26;;62,5;61;57,3;61;68,6;64,8;58,3;50,9;44;Embajada
nov-21;27;;62,9;58,8;54,8;60,8;69,6;63,3;53,8;43,1;36,8;Barajas Pueblo
nov-21;28;;67,8;66,2;60,6;66,1;74,3;70,4;61,7;41;35,4;Cuatro Vientos
nov-21;29;;57,5;55,2;50,6;55,8;65;60,1;49,3;35,8;33,5;El Pardo
nov-21;30;;60,9;58,8;54,7;59,2;66,3;61,5;56,9;44,4;41;Campo de las Naciones
nov-21;31;;63,6;63,2;53,8;62;72,1;66,8;54,5;44,1;40,6;Sanchinarro
nov-21;47;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Méndez Álvaro
nov-21;48;;61;59,8;55,8;59,6;66,5;62,1;58;50,4;44,3;Castellana
nov-21;50;;66;65,7;61,6;64,9;71,1;66,7;63;54,8;48,9;Pza de Castilla
nov-21;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
nov-21;55;;57,8;55,5;51,1;56;64,3;57,7;51,7;45,7;43,2;Urbanización Embajada II
nov-21;86;;58,3;54,8;50,2;56,2;65;58,6;50,2;39,5;37,6;Tres Olivos
dic-21;1;;65,2;63,3;60,3;63,7;72,2;65,7;60,4;51,9;46;Paseo de Recoletos
dic-21;2;;71,1;70,8;66,2;69,9;75,3;70,7;66,9;60,7;55,7;Carlos V
dic-21;3;;61,2;62,3;58,9;60,8;69,4;63,1;57;49,9;45,6;Plaza del Carmen
dic-21;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
dic-21;5;;61,7;62,1;53,7;60,4;67;62,9;57,4;44;38,6;Barrio del Pilar
dic-21;6;;69,6;69,5;65,4;68,6;76,1;71,4;65,3;57,1;50,3;Gregorio Marañón
dic-21;8;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Escuelas Aguirre
dic-21;10;;65,2;64,1;60;63,8;72,2;67,1;59,5;50,4;47,8;Cuatro Caminos
dic-21;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
dic-21;12;;63,5;62,9;57,8;62,2;70,3;64;59,8;51,3;44,7;Plaza Manuel Becerra
dic-21;13;;64,2;58,8;51,8;61,8;69,8;60,6;53,6;42,9;39,7;Vallecas
dic-21;14;;63,8;63,4;59,1;62,6;69,3;64,6;61;53,4;47,9;Glorieta Fdez. Ladreda
dic-21;16;;58,4;57,5;51,8;56,9;64,5;59,2;53,2;41;37,4;Arturo Soria
dic-21;17;;62,3;60,8;51,9;60,5;64,9;58,1;51,7;42,3;39,1;Villaverde
dic-21;18;;57,6;60,7;48;57;66,3;56,9;48,8;40,1;38;Farolillo
dic-21;19;;60,4;60,1;54,9;59,1;67,1;61,8;55,5;45,6;39,8;Alto Extremadura
dic-21;20;;65,7;60,3;54,3;63,3;68,3;62,6;55,9;45;41,5;Avda de Moratalaz
dic-21;24;;48,5;47;43,6;47,1;54,6;49,7;44,5;39,5;37,9;Casa de Campo
dic-21;25;;69;68,5;64,7;67,9;71,6;70;67,7;60,2;52;Santa Eugenia
dic-21;26;;62,5;61,3;57,4;61,1;68,9;64,9;58,3;51,4;44,9;Embajada
dic-21;27;;61,7;59;54,6;59,9;69;62,8;52,4;43,2;37,5;Barajas Pueblo
dic-21;28;;68,2;66,4;60,7;66,5;74,8;70,6;61,9;43,4;37,8;Cuatro Vientos
dic-21;29;;57,8;55,4;49,9;56;65,4;60,6;48,9;34,7;33;El Pardo
dic-21;30;;59,7;58,4;53,4;58,1;65,1;61;56,2;46,7;43,7;Campo de las Naciones
dic-21;31;;64;63,8;53,9;62,4;72,4;67,1;54,8;44,7;41,2;Sanchinarro
dic-21;47;;57;54,7;50,2;55,5;66,5;54,3;47,9;40,6;38,1;Méndez Álvaro
dic-21;48;;60,7;60,2;55,9;59,5;66,3;61,8;58;50,4;44,6;Castellana
dic-21;50;;66,2;66,1;61,6;65,1;71,1;67;63;55;49,2;Pza de Castilla
dic-21;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
dic-21;55;;56,9;61,2;50,7;57,1;64,1;57,3;51,3;45,6;43,4;Urbanización Embajada II
dic-21;86;;56,7;55,1;50,8;55,2;64,6;58,5;49,6;38,9;37,1;Tres Olivos
ene-22;1;;65,1;64,5;60,8;63,9;71,5;66,5;60,1;51,5;45,8;Paseo de Recoletos
ene-22;2;;69,4;68,9;65,7;68,4;74,5;70;66,4;59,9;55;Carlos V
ene-22;3;;61,6;60,2;63,1;62;69,5;62,7;56,4;48,9;44,8;Plaza del Carmen
ene-22;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
ene-22;5;;61,4;60,9;55,1;60;67;62,5;57,2;43;38,3;Barrio del Pilar
ene-22;6;;69,6;68,9;64,6;68,3;75,9;71;64,8;55,9;49,2;Gregorio Marañón
ene-22;8;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Escuelas Aguirre
ene-22;10;;64,9;64;59,7;63,6;72;66,8;59;49,9;47,8;Cuatro Caminos
ene-22;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
ene-22;12;;63,2;62,8;57,5;61,9;69,7;63,6;59,3;50,5;44,7;Plaza Manuel Becerra
ene-22;13;;60,9;56,8;55,5;59,1;67,3;60,1;52,9;42,5;39,7;Vallecas
ene-22;14;;63,4;63,4;59,3;62,4;68,8;64,1;60,2;51,8;46;Glorieta Fdez. Ladreda
ene-22;16;;58;58,2;51,3;56,7;64,3;58,4;52,2;39,7;36,9;Arturo Soria
ene-22;17;;58,5;56,9;63,8;60,9;64,8;57,9;51,5;42,1;39,1;Villaverde
ene-22;18;;57,7;56,3;66,2;62,5;66,5;56,6;48,5;41,3;39,8;Farolillo
ene-22;19;;61;60;54,8;59,5;67,7;61,9;55,2;44,1;38,2;Alto Extremadura
ene-22;20;;61,4;59,7;55,6;59,8;67,7;62,1;55,7;43,9;40,4;Avda de Moratalaz
ene-22;24;;48,2;46,5;44,5;47;55,1;49,7;43,9;39,4;38;Casa de Campo
ene-22;25;;68,7;68,2;64;67,5;71,3;69,7;67,5;59,3;50,9;Santa Eugenia
ene-22;26;;62,1;61,5;57;60,8;68,8;64,5;57,7;50,5;44,4;Embajada
ene-22;27;;59,5;59,1;57,2;58,8;68,2;62;52,5;43,3;37,6;Barajas Pueblo
ene-22;28;;67,7;65,8;60,7;66;74,4;70,1;61,2;40,1;35,6;Cuatro Vientos
ene-22;29;;58,5;55,6;49,6;56,5;65,8;60,6;48,8;35;33,2;El Pardo
ene-22;30;;60,7;58,4;52,4;58,8;65,9;60,9;55,8;45,4;42,5;Campo de las Naciones
ene-22;31;;63,4;63,3;54,1;61,9;71,2;65,5;52,7;42,9;39,8;Sanchinarro
ene-22;47;;54,8;54,5;52,5;53,9;65,5;53,9;47,4;39,7;37,4;Méndez Álvaro
ene-22;48;;60,2;59,6;56;59,1;65,8;61,2;57,4;49;43;Castellana
ene-22;50;;65,7;65,3;60,7;64,5;70,5;66,5;62,4;53,7;47,7;Pza de Castilla
ene-22;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
ene-22;55;;56,7;56,7;52;55,6;64,4;57,6;51,3;44,6;42,1;Urbanización Embajada II
ene-22;86;;56,5;54,8;54,4;55,7;64,4;57,9;49;39;37,5;Tres Olivos
feb-22;1;;65,1;63,4;60,7;63,8;71,3;66,3;60,4;52,2;46,7;Paseo de Recoletos
feb-22;2;;69,4;68,8;65,9;68,3;74,5;70;66,6;60,1;55;Carlos V
feb-22;3;;62,2;62,4;60;61,6;70;64,1;58,3;49,8;45,3;Plaza del Carmen
feb-22;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
feb-22;5;;61,1;60,1;52,3;59,5;66,9;62,5;57,3;43,2;38;Barrio del Pilar
feb-22;6;;69,4;68,7;64,6;68,2;75,8;71,1;65;56,2;49,4;Gregorio Marañón
feb-22;8;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Escuelas Aguirre
feb-22;10;;65,3;64,5;58,8;63,8;72;67;59,6;50,8;48,7;Cuatro Caminos
feb-22;11;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ramón y Cajal
feb-22;12;;63,4;63,2;57,3;62,1;70;63,9;59,7;50,9;44;Plaza Manuel Becerra
feb-22;13;;59,6;57,3;51,1;57,7;66,3;60,1;53,5;41,4;38,2;Vallecas
feb-22;14;;64,4;64,5;59,1;63,2;70;64,8;60,7;52,6;46,6;Glorieta Fdez. Ladreda
feb-22;16;;57,9;56,4;50,5;56,2;64,2;58,5;52,7;40;36,2;Arturo Soria
feb-22;17;;57,9;57;49,5;56,3;65,2;58,5;52,3;41,3;38;Villaverde
feb-22;18;;56,2;56,6;47;54,8;65,2;56,6;49,1;40,8;39,3;Farolillo
feb-22;19;;60,7;59,5;53,1;59,1;67,1;61,7;55,1;43,5;37,4;Alto Extremadura
feb-22;20;;60,4;60,1;53,1;58,9;66,8;61,8;55,9;44,2;40,2;Avda de Moratalaz
feb-22;24;;48;45;42,9;46,3;54,6;49,5;43,2;38,9;37,6;Casa de Campo
feb-22;25;;68,8;67,8;63,8;67,5;71,4;69,7;67,4;59,5;50,9;Santa Eugenia
feb-22;26;;62,2;60,6;57;60,8;68,6;64,6;58;50;43,4;Embajada
feb-22;27;;60,2;58,2;54,7;58,7;68,4;62,3;52,8;42,4;36,3;Barajas Pueblo
feb-22;28;;68,2;65,9;60,2;66,3;74,5;70,1;61,7;40,8;35,4;Cuatro Vientos
feb-22;29;;57,3;56,3;50;55,7;64,9;60;49,4;35,1;33,3;El Pardo
feb-22;30;;62,2;58,1;52,2;60;67,2;61,5;56;45,3;42,5;Campo de las Naciones
feb-22;31;;63,1;62,5;52,8;61,4;71,7;66,2;53,4;43;39,8;Sanchinarro
feb-22;47;;56,7;55,6;49,5;55,1;66,2;55,5;48,3;39,7;36,6;Méndez Álvaro
feb-22;48;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Castellana
feb-22;50;;66;65,4;60,4;64,6;70,6;66,5;62,7;53,8;47,8;Pza de Castilla
feb-22;54;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Ensanche de Vallecas
feb-22;55;;59,2;55,1;50,9;57,1;65,7;59;51,9;44,5;41,6;Urbanización Embajada II
feb-22;86;;57;54,8;49,7;55,2;64,6;58,3;49,8;39;37,2;Tres Olivos
mar-22;1;;67,2;65,9;62,5;65,8;72;67,7;61,3;53,5;48;Paseo de Recoletos
mar-22;2;;70,9;69,3;66,5;69,5;75,2;70,9;66,9;60,3;55,1;Carlos V
mar-22;3;;61,4;63,8;59,2;61,4;69,7;63,6;57,6;50,4;45,7;Plaza del Carmen
mar-22;4;;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;Plaza de España
mar-22;5;;66,1;61;53,8;63,7;67,8;63,5;57,8;44,4;38,6;Barrio del Pilar
mar-22;6;;70,9;69,7;65,8;69,4;76,8;72,2;65,7;57,5;51,4;Gregorio Marañón
mar-22;8;;65,5;64,8;61,7;64,4;70,8;66,3;61,4;56,1;53;Escuelas Aguirre
mar-22;10;;65,8;64,4;59,4;64,2;72,7;67,7;60,1;49,7;47,2;Cuatro Caminos
mar-22;11;;69,4;68,4;62,5;67,9;72,9;68,6;63,3;57,6;54;Ramón y Cajal
mar-22;12;;63,7;63,1;58,1;62,4;70,2;64,3;60,1;51,5;44,3;Plaza Manuel Becerra
mar-22;13;;63,5;57,2;50,7;60,9;66,8;60,8;53,9;41,7;38,6;Vallecas
mar-22;14;;64,4;63,3;59;63;69,7;65;61,1;53,2;47,3;Glorieta Fdez. Ladreda
mar-22;16;;62,3;58,1;52,8;60,1;66,2;60,3;54,3;41;36,6;Arturo Soria
mar-22;17;;59,8;58,6;49,1;58;65,9;58,9;52,5;41,5;37,7;Villaverde
mar-22;18;;58;56,6;48,6;56,2;65,7;57,1;49,8;40,7;38,5;Farolillo
mar-22;19;;61,5;59,8;54,1;59,8;67,5;62,2;55,8;44,3;37,8;Alto Extremadura
mar-22;20;;63;60,5;57,2;61,4;69,2;62,8;56,6;45,6;41;Avda de Moratalaz
mar-22;24;;48,4;46,5;42,8;46,9;54,4;49,4;44,3;39,1;37,7;Casa de Campo
mar-22;25;;70,3;69,6;65,3;69;72,7;71;68,6;60,6;51,9;Santa Eugenia
mar-22;26;;63,5;61,7;58,2;61,9;69,2;65,4;59,2;51,4;44,4;Embajada
mar-22;27;;61,2;59,1;55;59,6;68,9;62,9;53,2;42,3;36,5;Barajas Pueblo
mar-22;28;;68,5;66,1;60,6;66,7;74,6;70,5;62;42,3;36,2;Cuatro Vientos
mar-22;29;;58,3;56;50,7;56,5;65,5;60,6;50,2;35,8;33,4;El Pardo
mar-22;30;;61,4;59,7;56,4;59,9;67,2;62,5;57,7;46,2;43;Campo de las Naciones
mar-22;31;;65;63,3;53,7;63;72,8;66,9;53,9;43,3;40;Sanchinarro
mar-22;47;;61,7;55,2;49,8;59,2;66,2;55,4;48,8;39,8;36,8;Méndez Álvaro
mar-22;48;;65;60,9;57,6;63;65,9;62;58,5;53,9;51,2;Castellana
mar-22;50;;69,9;66;61,5;67,7;72,2;67,6;63,2;54,6;48,9;Pza de Castilla
mar-22;54;;61,9;61,3;54,6;60,4;65,4;61,3;57,3;54,3;52,3;Ensanche de Vallecas
mar-22;55;;60,4;55,5;51,6;58,1;66,7;59,2;52,6;45,2;42,2;Urbanización Embajada II
mar-22;86;;58,5;55,5;51,5;56,6;65,6;59,2;51,2;40,1;37,3;Tres Olivos
abr-22;1;;65,1;64,7;60,7;64;71,3;66,2;60,1;52,4;47,1;Paseo de Recoletos
abr-22;2;;69,2;69;66;68,3;74,7;70,2;66,4;60,1;55,1;Carlos V
abr-22;3;;61,3;62,7;60,4;61,3;69,7;63,7;58,1;50,7;46,2;Plaza del Carmen
abr-22;4;;65,9;63,2;58,6;64,1;69,6;62,5;58,8;55,8;53,8;Plaza de España
abr-22;5;;61,4;60,8;52,9;59,8;67,2;62,2;56,8;43,7;37,9;Barrio del Pilar
abr-22;6;;75,3;69;65,2;72,8;76,5;71;64,7;57;51,2;Gregorio Marañón
abr-22;8;;64,5;64,7;60,9;63,6;70,4;65,5;60,5;55,3;52,4;Escuelas Aguirre
abr-22;10;;65,3;64,3;58,5;63,7;72;66,6;59;50,8;48,9;Cuatro Caminos
abr-22;11;;68,4;67,9;62,8;67,1;72,2;67,6;62;56,1;52,6;Ramón y Cajal
abr-22;12;;63,3;63,2;57,4;62;70,2;63,8;59,5;51,1;44,8;Plaza Manuel Becerra
abr-22;13;;61,8;57,6;51,2;59,5;66,2;60,5;53,9;41;37,6;Vallecas
abr-22;14;;63,7;63,5;58,9;62,5;69,1;64,3;60,4;53;47,2;Glorieta Fdez. Ladreda
abr-22;16;;62,2;57,9;52,1;59,9;66,5;59,4;53;40,2;36;Arturo Soria
abr-22;17;;58,4;58,7;50,1;57;65,5;59;52,7;41,3;37,5;Villaverde
abr-22;18;;57;57,6;49;55,7;65,4;57,2;50;40,4;38,6;Farolillo
abr-22;19;;59,7;59,5;54;58,5;66,1;60,1;53,2;42,9;37;Alto Extremadura
abr-22;20;;61,4;60,5;57,8;60,4;68,2;62,1;56;44,6;39,8;Avda de Moratalaz
abr-22;24;;53,3;48,8;43,5;51,1;58,9;51,7;45,5;38,8;37,3;Casa de Campo
abr-22;25;;68,8;68,5;64,3;67,7;71,5;69,7;67,3;60,1;51,5;Santa Eugenia
abr-22;26;;62,2;60,9;57,5;60,9;68,1;64,3;58,3;51,4;44,1;Embajada
abr-22;27;;61,4;58,4;54,4;59,6;68,7;62,3;53,2;41,8;35,5;Barajas Pueblo
abr-22;28;;66,9;65,6;60;65,3;73,6;69,3;60,4;40,7;34,8;Cuatro Vientos
abr-22;29;;57,6;56,4;49,7;55,9;64,9;59,9;50;35,7;33,6;El Pardo
abr-22;30;;63,2;59,6;55,7;61,2;67,1;61,3;56,5;45,5;42,3;Campo de las Naciones
abr-22;31;;63,2;63,2;53,2;61,7;71,6;65,7;53;43,7;40,3;Sanchinarro
abr-22;47;;56,8;55,6;50,1;55,2;66;55,6;49,2;39,6;36,6;Méndez Álvaro
abr-22;48;;61,3;60,2;56,1;59,9;65,2;60,7;57,1;52,8;50,1;Castellana
abr-22;50;;66;65,5;61,1;64,8;70,7;66,2;62,1;54,1;48,4;Pza de Castilla
abr-22;54;;60,9;60,6;55;59,5;64,8;60,5;56,4;53,4;51,5;Ensanche de Vallecas
abr-22;55;;60,5;55,5;50,9;58,2;65;58;51,6;44,9;42,2;Urbanización Embajada II
abr-22;86;;56,9;55,5;49,8;55,2;63,9;58;50,5;39,4;37;Tres Olivos
may-22;1;;63,9;63,9;62,8;63,6;70,8;65,2;59,9;52,3;46,6;Paseo de Recoletos
may-22;2;;69;68,7;66,5;68,3;75,4;69,6;66;59,7;54,5;Carlos V
may-22;3;;62,5;64,2;61,3;62,5;70,1;64;58,7;51,6;46,9;Plaza del Carmen
may-22;4;;62,6;63,6;59,3;61,9;69,6;61,9;58,3;55,5;53,6;Plaza de España
may-22;5;;60,5;61,1;53,2;59,3;66,5;61,9;56,8;44,5;38,3;Barrio del Pilar
may-22;6;;69;68,6;65,4;68;75,8;70,4;64,4;56,2;49,9;Gregorio Marañón
may-22;8;;64,4;64,6;60,3;63,5;70,5;65,2;60,2;55,5;52,9;Escuelas Aguirre
may-22;10;;64,5;63,9;58,6;63,1;71,4;66,1;58,7;50,6;48,5;Cuatro Caminos
may-22;11;;68,4;67,7;61,9;66,9;72,2;67,2;61,8;56,4;53,1;Ramón y Cajal
may-22;12;;64,1;63,3;58,5;62,8;71,1;63,8;59,5;51,2;45,6;Plaza Manuel Becerra
may-22;13;;60,7;58,7;51,6;58,8;66,4;60,4;54;42,5;37,6;Vallecas
may-22;14;;63,8;63,4;58,8;62,6;69,8;64,4;60,3;52,7;46,8;Glorieta Fdez. Ladreda
may-22;16;;59,1;56,4;51;57,2;65,3;58;51,9;39,9;35,3;Arturo Soria
may-22;17;;59;62,1;52,9;58,7;67,4;60,4;53,8;43,2;37;Villaverde
may-22;18;;58,4;61,4;57,2;58,7;66,8;58;50,8;42,2;39,3;Farolillo
may-22;19;;61;60,3;53,6;59,5;68,1;61,8;55;43,5;36,8;Alto Extremadura
may-22;20;;63,4;59,8;61,8;62,5;68,2;61,9;56,3;45;39,8;Avda de Moratalaz
may-22;24;;49,5;47,8;42,9;47,9;55,5;50,5;44,7;38,6;37,1;Casa de Campo
may-22;25;;67,4;67,5;63,5;66,4;70,3;68,5;66,3;59,7;51,4;Santa Eugenia
may-22;26;;61;59,7;56,6;59,7;67;63,2;57,5;51,1;44;Embajada
may-22;27;;62,4;58,3;54,3;60,3;69,7;62,6;53,4;43,1;36,1;Barajas Pueblo
may-22;28;;66,4;64,9;59,4;64,7;73,1;68,7;60,2;40,3;34,2;Cuatro Vientos
may-22;29;;57,2;57,9;50,4;56,1;65;59,1;50,7;37,2;34,1;El Pardo
may-22;30;;60,7;58,9;54,3;59,1;66,1;60,4;56,2;45,1;42,1;Campo de las Naciones
may-22;31;;61,8;62;52,4;60,4;70,5;65,1;52,2;42,7;39,1;Sanchinarro
may-22;47;;56,3;56,3;51,1;55,2;66,3;55,8;50,5;40,7;36,8;Méndez Álvaro
may-22;48;;59,8;59,4;55;58,6;64,5;59,7;56,3;52,4;49,9;Castellana
